epochs_part,h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9,h_10
1,4.71176073322,-49.6437384335,-36.8869500173,-49.2543378303,-62.4170488831,-56.4277008092,-25.5589490312,44.8989263599,-17.5029593554,49.2586487167,
2,104.807737207,157.323004301,110.754949877,-13.8476249107,28.2231778465,-52.5798454913,-43.1674994796,-35.1267480235,56.5122122685,-28.5032188307,
3,21.3769596189,105.324142076,35.0638168833,-45.6204849583,38.1047419356,-67.8260413538,-61.7522473533,-30.025698369,-11.2212422782,-80.9382441191,
4,49.7889478042,116.836928053,40.3594544366,-39.586439461,27.6308598083,-71.1505818573,-56.6117631223,-34.8232947897,25.7960432222,-61.7391559313,
5,110.725358604,100.358480076,60.5958271626,-17.6104916451,-12.7946733104,-33.2181171765,-31.5962568843,-48.3396259821,44.394474643,-18.8046219004,
6,97.3099873916,74.0665942397,34.6390532776,-12.7554223225,-22.2891038491,-33.6921347009,-33.8104477108,-40.9919344367,24.5244506128,-34.8925044289,
7,75.5753313497,40.4169477519,11.0967753996,-30.0041104524,-21.1035723058,-39.7171371108,-24.9305465201,-34.4822197321,-3.69048555508,-48.7826343316,
8,77.901308623,10.2847261021,20.6042560165,-45.824675137,-30.0365077974,-31.2101624551,25.1053849562,4.09952004161,-4.10146772068,-28.9277763379,
9,66.4297151304,26.9856046582,-5.03811545447,-29.1706852426,-48.8851550851,-11.0436997552,29.4879194186,17.1739784973,-6.05028628182,-7.64578406358,
10,39.7766507849,38.7720295429,-25.8064658533,-20.8393728515,-48.0919069704,-2.80595941885,7.39597464729,8.12180427161,-11.5901677527,-10.7983282872,
11,41.9362614377,46.6263749632,-12.7983805604,-19.2479612626,-49.677327106,6.5687277205,-8.04210936194,2.84897391206,-0.621598331114,-5.57706646049,
12,43.3928696907,45.6448582734,25.6792239139,-8.29683922997,-35.5934731662,31.6720787564,-14.6037686824,1.86953832179,13.9023992401,19.9820307233,
13,55.8585650213,34.7133816035,47.8271353512,3.12256021009,-32.0591705452,28.4640607685,-20.2993785858,-7.22584489314,11.715190048,27.1574817345,
14,47.8023837891,18.6203940893,35.4631979485,-7.08458536436,-37.0153520173,6.23261456571,-21.5439097334,-18.6525026668,-6.28917586773,10.4422390151,
15,29.4843637377,1.34911366432,20.6583588084,-18.8807830374,-36.1116637865,-20.0464110581,-29.2443343781,-24.9091134683,-15.094940009,-5.91683046662,
16,8.65405689825,-17.5836481901,5.96682226713,-39.4559260445,-36.5506941337,-36.0399108494,-25.1624796684,-25.5309246123,-14.5624673626,-8.52689377866,
17,-0.567708721298,-32.1188667155,-2.13334591174,-46.568903212,-44.8246377768,-39.9866300629,-20.1192512062,-23.5605890562,-6.88062609941,-5.28471070584,
18,-6.2984065069,-33.7718066093,-20.6098083944,-44.3373866373,-49.2179258282,-47.383630454,-22.8071054683,-29.3367014212,-15.5302364134,-11.8740173581,
19,-9.89227643023,-37.3806549875,-30.2551363334,-44.9712454525,-48.8966859084,-49.3810903968,-25.4543728713,-35.6394865858,-24.1700455461,-15.9579420701,
20,-14.1011539916,-42.2681419259,-36.9285439295,-43.8179538295,-48.5283723103,-46.8168393782,-28.924767832,-38.5693423592,-29.9746036582,-16.3637108753,
21,-14.0498408896,-44.2544693786,-40.7025113716,-41.8194603988,-47.5728064424,-45.6692835791,-26.9439290265,-40.1706348465,-29.2633675163,-15.5809903034,
22,-18.7420031376,-47.6032438461,-46.7266982725,-41.6564734945,-41.6248183431,-43.5649941819,-26.8954489414,-35.5010426392,-30.4492921998,-23.6917465159,
23,-13.4496577262,-46.0327564969,-48.8641687951,-37.6355994007,-37.2661530066,-40.0600034664,-22.1704903186,-30.1870324445,-30.1539701235,-30.3017152214,
24,-13.6409606121,-44.018468765,-50.2151650291,-36.4068367191,-20.2331488932,-41.9632001152,-15.0192968862,-19.621308159,-21.5554306601,-36.7378912818,
25,-17.1808210248,-37.0263538522,-46.2972495297,-31.2255434026,-2.12621386143,-42.3595630854,-16.1352238636,-17.4145693181,-19.0375688853,-36.4647653518,
26,-20.2215305208,-32.7820491781,-37.7927499702,-28.1722197579,10.1230860957,-34.2318777606,-17.3855006823,-10.1554289068,-20.457846721,-28.9027208924,
27,-15.3586234495,-29.7524412091,-31.2459878177,-25.8245469684,12.1987143874,-23.6691375846,-17.9579784987,-1.88479600824,-21.153279279,-20.3729771484,
28,-8.74900270718,-23.0444704889,-25.0357632939,-24.8165029878,18.380235231,-19.5368707991,-19.5374971001,4.01735051787,-19.5247279243,-18.0021759191,
29,-6.46603695941,-16.6290205866,-23.7725809617,-21.5583280938,24.5143028681,-16.914623896,-14.6469749425,6.58287312995,-24.0113542212,-15.6257913918,
30,-8.33756693282,-12.3402058702,-18.0115371192,-19.5946250236,30.5145245208,-15.308873106,-19.1048263363,5.90048676293,-23.1692041413,-11.2928543978,
31,-4.74036728731,-16.5955359162,-18.308392506,-19.123343241,29.2715951845,-14.3829429887,-18.0725900436,6.77531238662,-19.7758057663,-5.33172622573,
32,-7.18467027399,-13.129670546,-18.8893085634,-24.1471739423,29.1453273839,-14.582813166,-21.9247405749,8.62705222447,-21.855283338,-4.64533563565,
33,-4.44504001957,-7.50648694998,-16.4695556102,-20.5578676887,26.1550229991,-12.4931762193,-17.679541708,11.5783350233,-13.3436006463,4.9783733234,
34,-10.932721297,-10.0077336819,-14.0071492806,-28.9680858047,26.3665742577,-14.278559226,-26.2962231433,13.0828890463,-14.0073989967,-1.86263154619,
35,-2.73607732022,-9.54365575522,-16.8405243076,-24.9271264898,21.7055601807,-13.8414353467,-19.4988527751,12.1220578432,-10.5787369939,1.39932242137,
36,-5.29764321497,-8.01260207671,-11.2583416861,-22.4081138871,14.9246411601,-11.5186615266,-20.4415572292,7.61231212396,-3.31083864009,-1.31108633414,
37,2.46330946942,10.1489684686,-4.96596639886,-22.1250491944,11.4544596531,-10.1104634141,-31.1132529519,7.01877106764,-10.9399012052,-8.26925928515,
38,4.45720634956,0.924755315113,-1.48064508422,-19.1541259336,10.0205148621,-4.60332388593,-18.372044305,5.60703879037,3.5369921208,-1.87984081386,
39,6.32439618143,-5.76295304998,-6.411416446,-17.6356600005,15.755960591,-7.42897000777,-14.9047620926,7.4807274283,-6.97956114524,-5.33304329353,
