epochs_part,h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9,h_10
1,-85.0879101256,33.4104743823,-34.7714047042,-48.1396538412,-88.2264577592,5.71225278042,-28.7228913662,-45.3645620745,-74.0296405041,-73.4409261023,
2,13.2309655546,2.14846524943,61.0797247422,64.3030539886,71.3924593372,-21.6911933816,-3.64532711315,27.2792490029,-60.0356981665,-74.7439121219,
3,34.8591033104,13.2240822761,63.7035095384,41.5670736833,85.9689844266,-41.0225826883,8.34577445556,38.01753631,-34.2986413819,-70.8202051841,
4,78.2479493583,14.9173332886,-8.94155683938,25.1782211755,105.279920113,-11.38912647,36.1457199939,49.545551487,3.11046841599,-56.3819608457,
5,57.3773339786,25.0657283036,-48.1531022952,23.396240248,62.5002552136,-8.51275525989,0.334777146898,72.5213501622,36.537097562,-32.429115382,
6,47.7381301075,63.8686108052,-16.1434145115,39.6334219082,36.3286677928,3.83038485285,-18.3478531766,64.364425911,50.2442929892,-21.9970811661,
7,44.6528378045,87.9586054183,2.06517387018,39.584375197,33.1383617438,19.3999016325,-18.733973061,56.2855810785,62.1089473611,9.19618941933,
8,28.3647737918,96.7834123814,28.1363215344,44.5201165888,55.4676698133,34.8510087278,-21.0100133692,57.7355362686,56.6521883025,29.2921261803,
9,16.2408575294,94.2267769651,34.9217845489,43.9397645312,61.7192470741,36.0161157042,-16.8343563983,53.3122733559,35.4013023869,13.9820960465,
10,12.6568395451,89.891064882,34.1951086369,40.5912150893,44.9761656781,37.3554182452,-27.3665460661,54.0641995113,17.0973043388,0.761442848858,
11,18.162980867,93.6672644006,25.3916258261,44.2880456271,51.2703731229,55.2126725002,-6.98898995477,38.2570688236,25.9230737569,-6.28972428469,
12,21.3363635747,76.0080856346,12.961097227,30.2169977078,56.7291715111,56.1624736132,-3.37257713982,25.0776147204,45.0960245993,5.36658279051,
13,17.835336819,38.8180686188,24.3449244954,17.7096784885,43.767341131,44.4226466495,-7.52855061644,28.6684567553,58.3493623353,26.2464263053,
14,18.9653069051,30.8764822347,27.7792810214,17.9775424478,30.439335379,39.5427514482,-21.2531491358,21.5384444982,32.5400942038,32.2790247379,
15,11.7153086544,28.4773898642,30.970725778,17.0206229989,33.1107291485,28.8908326789,-23.45690435,22.4766828948,27.5270382165,36.5115496524,
16,1.88595288974,28.6726308543,29.0536297292,24.5921887193,26.0698814866,27.7858755506,-18.720522594,26.6884247254,20.5565582271,35.7365375361,
17,-11.3025281284,31.2730883346,23.3425797474,27.925412572,15.1231736357,25.19744389,-22.3573821492,16.3521456597,2.85342200945,30.8296154043,
18,-17.6939897643,35.1823324943,18.8036833999,33.8064794277,12.6360122191,19.9365541392,-11.6775294039,21.1808249655,-1.83807276142,27.2370597208,
19,-16.6415053273,38.3086007006,11.9443617851,35.4998987896,9.95731795034,16.9076878955,-0.494196243155,27.6304120455,2.82453711064,23.3916523743,
20,-12.6732835607,38.1899290623,11.7808816568,32.1280214025,14.0967430855,24.0409525452,11.9250638797,33.3242321783,16.7267655166,25.4639327636,
21,-12.3721694913,27.6829148891,7.80198723322,27.0204495698,12.6679229392,19.4623055864,11.8652197672,32.0090586815,18.5706100668,24.9329585993,
22,-13.0411391285,23.9528055358,5.33925469712,23.596673753,11.6634114291,18.6118342551,15.3252015378,33.1622438769,24.8841385692,24.2801973545,
23,-21.6461826175,11.3123805001,0.21530134443,13.8020649593,6.97691174027,17.9286607892,14.299111885,28.698472852,23.3345237504,23.7559915403,
24,-18.1520167232,12.138454499,-1.71403108293,12.6921361007,9.6547978821,16.6694848172,12.2451272298,19.1276933093,28.7288269326,28.0291205546,
25,-15.8990040012,15.0256089303,1.47462329221,15.4591750325,10.5223637446,16.7187621646,13.4276081333,17.0899201642,36.9425705438,24.5995276831,
26,-18.0187455394,5.76601200503,-9.93754434242,13.7683838897,11.8293682451,18.3684261181,23.3321785153,16.4700188445,40.9822479316,29.8231981034,
27,-12.591355431,9.98759632864,-10.3994562149,15.6880182029,21.2310315322,24.3783580388,29.8112849855,14.7736505577,44.1619016032,27.1206743804,
