epochs_part,h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9,h_10
1,-98.3162761406,57.6362378813,-56.285100888,-20.5094728147,-48.1129431595,-21.0036686175,27.4064578042,27.0080874105,11.2482287952,-67.2846180989,
2,112.354744706,82.0350017379,-6.91464467346,-2.28818746926,51.0873556993,-60.6320552233,-29.4133540398,-87.8207653825,-17.0358362319,39.0453130698,
3,77.5120970091,101.526403785,-18.3797229719,2.82110909623,73.080673502,-32.6797133239,31.6914899342,-81.1413612507,-7.04248816387,23.8929269245,
4,147.57176694,157.205430513,20.967361175,-0.689896927584,58.1290602807,-34.2703349575,108.680784248,-69.1730931821,-47.2074867571,-15.4291619383,
5,164.819797622,132.60253529,-8.65996230727,-13.7570293361,26.9157494968,-68.9542958239,69.1197914263,-46.9406842796,-32.9687886721,-41.3222680242,
6,142.836967899,73.6946897884,12.5896110746,-25.8489431358,-17.8704119302,-72.3899937885,1.51087124182,-46.5523121266,-30.3905764688,-58.7568914194,
7,107.505601747,39.9232755083,28.5588750562,-32.1508781736,-37.0855721276,-64.0412837536,-24.7393340949,-41.2349191133,-27.8880500372,-44.9667642399,
8,91.4937886097,38.6179605696,41.3965600224,-26.0236901327,-36.1186486665,-55.4244813351,-16.6825191997,-29.8467934966,-28.9839703748,-31.522406505,
9,77.1189952878,41.7961056078,36.5670002809,-23.9964357225,-43.5835513592,-40.6356802952,-13.0343998265,-23.1379542561,-32.5476987161,-22.3322009833,
10,55.4236901042,37.7470534166,38.2694772317,-27.098298693,-49.4660397914,-26.0170706331,10.1380075815,-7.56433695912,-19.0230951527,-26.3853341229,
11,9.88708850337,-3.61213080857,21.9964237394,-32.5766080756,-56.7269915715,-28.1336466506,25.2858453118,-9.74901059547,-8.56410712839,-53.9140036115,
12,-15.356362053,-30.4284352301,0.253025421403,-40.3109350357,-42.1234473164,-35.0353271625,1.87006278809,-38.8611303662,-26.5472782895,-55.3135349743,
13,-5.65937498728,-37.3838149914,-2.56653598233,-35.9279798784,-25.4478405305,-43.8155941353,-15.9823209886,-60.3572952974,-36.6617992836,-36.7685579257,
14,12.9026686125,-46.1992684216,17.0942293243,-37.8322277733,-15.9266523746,-57.2355072687,-29.4568239069,-45.578324394,-32.7591637627,-23.5023501466,
15,21.7997517527,-41.557410165,-0.505496582517,-42.3510844634,-8.16193010965,-60.0005484355,-35.2664312714,-35.3988791806,-34.0417096902,-28.8499109813,
16,18.204889412,-34.7267234901,-23.4436708666,-44.0321947974,-29.6951030466,-53.3563375163,-34.5770497136,-39.7105785631,-45.101107951,-25.5744481167,
17,10.0461462288,-35.8264854579,-29.0481772893,-39.770870679,-37.8430970822,-53.8149642732,-25.4706561749,-39.8266152208,-42.7124583318,-28.1248467673,
18,-0.141498550903,-37.336606496,-45.2166534773,-43.6348031854,-46.5903150107,-54.4901152699,-26.0604849902,-38.6349534006,-42.3947642608,-28.7172145873,
19,-4.65039513825,-36.6599882144,-48.3075694332,-43.4889650323,-51.1488518075,-53.1501380731,-22.991271325,-36.2720913052,-42.2707740728,-31.1538275149,
20,-10.9051511205,-28.5729801556,-46.7619503223,-42.943662367,-52.1294996606,-46.6600116942,-19.9833964754,-30.8362818833,-40.1653262429,-31.1134031104,
