epochs_part,h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9,h_10
1,-39.5847274177,-62.3487800782,-65.3146966462,-12.5009597131,-24.1676288871,-62.8337738288,39.7546802889,101.905158644,-51.4129173315,-0.370936589058,
2,-60.2087688144,-38.5832841589,20.0331133723,-5.57384445103,-16.1931028181,-44.5559540071,30.8613231486,72.3812902758,17.2892434276,16.5236713109,
3,-60.405231118,-47.4343526394,17.7552840305,-2.20845636637,-5.77311944366,-28.9343571855,41.9149834974,68.738197427,22.9294363966,33.0086915759,
4,-52.2940228945,-22.7712957472,25.5040366012,9.87089699505,6.8675105612,11.9197591865,49.1198400033,41.9211142308,17.0133272338,33.1773952315,
5,-33.9114127454,-2.9019876169,17.3436267753,5.2397572507,16.8241765412,29.3611149696,39.4253020121,3.21412475696,-1.4598132637,10.9085329303,
6,-29.2339756128,12.5066632208,12.3107858887,-0.69498182126,19.2672257855,22.01048181,22.6097555787,-13.6469827138,-5.17440519767,-2.30033986327,
7,-18.3416822683,21.7818029485,10.9581210223,2.77588760993,10.1509053657,11.0039424316,10.378629468,-33.8352048412,-13.5392258056,-15.7886389676,
8,-36.265477075,6.16286403714,-7.57071888602,-1.26871952809,-10.3966025691,-6.25999045045,1.28721945815,-33.511514149,-19.551225418,-20.610167593,
9,-27.9850123854,-0.841162260443,2.39528408429,12.0486944839,-23.5044922939,-11.9366278023,10.2251219359,-19.7210240273,8.54765359679,-0.297783399977,
10,-23.7499260989,-10.0749824842,-11.2553316595,11.1530774908,-35.7240888569,-9.20906188398,3.85538052062,-19.4670078091,15.1084683023,10.2417821678,
11,-30.217763567,-8.14664763815,-17.3857040069,10.049206916,-50.9490545314,-7.09514900073,-2.63913432978,-14.4896199904,34.0085073508,17.173686243,
12,-32.1612796012,-18.9368577316,-35.5656692187,-8.16868383577,-65.4688134416,-22.2319601426,-16.2669061287,-15.9781754931,37.1540284613,19.2851273238,
13,-24.7927772931,-23.797608648,-38.1088432506,-23.8606638401,-63.9812624054,-30.8623912539,-13.3515797149,-13.7513043016,37.7581503919,14.2552188857,
14,-3.33210571579,-14.7436698568,-31.7473295731,-31.0989325332,-49.2590269407,-22.8853804111,-12.3964838266,-11.5450778458,27.4165919157,9.85971030995,
15,1.6015415275,-27.5096865906,-29.3416988062,-34.7199101449,-40.0389992271,-17.1642344496,-5.05724547286,-12.7795723996,13.2761732688,8.15372292861,
16,3.997125555,-26.3301578709,-21.714978316,-30.556222733,-24.3693178277,-3.97974589673,6.25571718283,1.66033738417,17.3036977278,11.2116875657,
17,-2.07221984253,-34.631216411,-22.049975535,-27.3748375274,-21.8852639452,-8.97336289002,9.7887126132,2.25546512313,15.2534161433,15.3644754588,
18,-13.049072336,-38.5653824417,-16.9836057894,-24.2483770679,-16.6829775402,-4.81843840929,13.3586838621,6.08093944736,14.3725057185,16.8713163305,
19,-23.9644175929,-36.5679805871,-11.280014148,-17.7943586243,-5.07114508492,0.909000235429,16.8911737345,5.9918009952,9.75407768775,16.7809476566,
20,-33.6726643019,-32.5411632343,-10.9894870866,-13.5351970737,2.09483524611,-4.03146267257,17.0314983125,-0.0421881900637,3.71681180648,6.8472522958,
21,-26.6281153131,-16.1826211974,-14.2558515028,-11.2616368083,9.2933375722,-3.557900019,7.54775693886,3.54478047262,-4.51763525918,1.19874168164,
22,-19.8661224324,-16.0241170199,-29.0030164246,-16.685001253,1.043954137,-17.3178354302,-8.82560246125,5.25249177434,-10.3694108563,1.57577853675,
23,-13.6263301783,-7.62670550386,-29.6784477384,-22.5847084989,-4.41986302787,-14.9338065788,-12.8494175169,11.1941629059,-6.92737426116,9.00534692744,
24,-9.44040241349,-1.05792890685,-21.1478303954,-27.2372623018,-8.42059997578,-2.87835529422,-14.7028510399,18.0012091852,-5.71522439171,9.79597495179,
25,-6.06138640296,-3.39963858801,-12.5257193924,-20.7753182291,-13.1235560691,0.677810706382,-10.6264167185,22.1429248736,3.85722440302,8.5348198273,
26,-5.09721521371,-5.09408009662,-5.95408072924,-12.657007199,-19.4257990566,-1.51606479257,-0.780404135148,27.7589597727,18.4648707825,12.8773933875,
27,-15.776395478,-13.3665950813,1.73268893382,-9.05879207594,-17.9672382786,-3.61766100626,8.25333360653,26.6384281872,20.086135903,10.7286659418,
28,-20.409666819,-14.9910060716,2.82015165233,-4.37765796033,-12.820943961,-4.69195022091,12.4635093264,22.8867127415,21.0800945719,7.47567942262,
29,-15.7582091522,-8.86524347821,8.13929714122,-1.97459410695,-11.6960952553,-5.09506307329,11.5860633627,17.637430105,18.2293731067,5.27767802097,
30,-12.8945826599,-7.66979316873,10.9044345676,-1.701993675,-13.2448672795,-4.72501609176,9.74658197819,9.98034459999,11.0657489153,2.23897168534,
31,-6.57554913847,-2.88473882043,10.5981741795,1.24418274367,-8.73385236414,-3.72748070055,9.67238972095,8.72400739835,6.67386578576,2.82492917067,
32,-5.81517758947,-3.93313885338,9.74392292295,2.05860511175,-3.5309304458,-2.2849178668,10.9293710999,8.14741591925,1.81866867796,-2.25401524228,
33,-8.03110242109,0.373393079507,8.82171621382,-2.24078003459,-4.37594590557,-2.86555550622,11.7218428254,7.6016380278,-5.0165938487,-5.66424155246,
34,-8.27473753787,-2.31987603968,7.30763246988,-3.34778544425,-6.46837905954,-3.74550763487,9.49329413363,7.39744250119,-2.5197915251,-5.2331135521,
35,-13.590712391,-2.41371970124,6.0801413825,-7.57696369795,-7.86217468395,-4.15726650462,8.05998711901,6.63757597238,-5.92343668148,-7.34550499087,
36,-18.3928960397,-7.09408185021,8.40322965023,-10.881205402,-6.27191875901,-1.16465391131,2.9428795506,2.39218191728,-13.1254838484,-11.8924497652,
37,-16.9007790077,1.11975951891,10.3558827402,-11.9183743604,-3.97652555956,1.87692801934,6.38134187883,10.2300968875,-8.50816488325,-11.6289256775,
38,-13.5399179344,-0.00358766972492,8.80164700474,-7.30242625959,-4.31777608671,0.046991013077,5.1106516599,8.1908944535,-5.31099132079,-7.3960898701,
39,-16.2862843604,-0.823768194304,8.96046916574,-8.92345426349,-3.90272420439,-1.35412214115,0.130384100763,6.31682497986,-12.0324018952,-11.2870182056,
40,-15.8170032468,2.27094579933,9.41762578263,-9.84941429019,-2.94710448211,-0.515114014293,-5.36081847719,3.40448595362,-15.1662553589,-15.5000132421,
41,-8.76001165117,5.51571280635,10.2369118886,-4.75014611669,2.06236356625,5.25393849815,0.886958000201,7.46630956807,-9.36423929336,-8.47389704925,
42,-10.0032444499,5.07181206442,10.7985118015,-1.87769310167,3.21986782618,4.87341658875,-0.565975235577,3.76843169059,-9.58533714306,-8.85465283065,
43,-8.59451620312,6.85879466516,14.792402906,-2.08805838754,-0.614298032714,0.726559427763,-1.62732914274,4.04585379166,-5.26150869666,-5.79010069685,
44,-3.82091848432,8.2427282732,14.0038993947,6.88788153782,6.84796076929,7.8181903239,4.03129648809,5.94884180211,1.21319318901,0.290430487603,
45,-6.8057973919,7.56570374274,10.6785832644,2.63718898937,-1.30005833173,-0.454370120906,-0.489043922288,1.66870019978,-5.33302581644,-8.35168394194,
46,-9.0387888549,3.45298565291,7.99623113647,1.29111133197,-1.05986203612,-1.43521791576,-1.37371983358,-0.0610876664952,-8.71577148293,-12.4477415253,
47,0.793267806876,10.4255328047,8.35869310992,7.58084138417,6.25580050768,7.88893367074,4.57334414727,3.32037363661,-1.00110263079,-5.37107590532,
48,-5.62683842084,9.20247358908,8.58072013921,4.56364858933,0.944824447151,3.12822504166,2.26926745587,-2.87158011355,-7.656217075,-11.7523327534,
49,-1.64224501256,8.39144912249,5.4595055047,4.21699598037,0.421740296421,4.54935789426,2.55484249071,0.0674650728618,-3.71765163614,-9.16375829917,
