epochs_part,h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9,h_10
1,-85.5249042149,-24.5479702581,-37.9942814481,-18.6987356179,-57.3768342814,7.54637503243,-74.7843573251,45.9058573197,-67.2810095954,-64.8514885751,
2,-17.3742734217,21.7738534863,10.8477245893,-64.2587248895,31.475169773,-16.6816897247,-44.6187706586,57.9824306087,2.13659372191,7.48696647105,
3,-22.5558292659,69.2158515122,37.2659659607,-61.6637564457,46.6592752118,-4.33180751702,-56.8444144094,62.7319435295,-39.8400957281,8.0471003373,
4,-11.0778939338,37.8181378372,30.0301044872,-57.8871657279,39.3586725373,2.1524208721,-44.7683445566,75.321678788,-26.9361290597,6.27159528982,
5,-4.11174938266,41.7947546662,7.27990394136,-48.378384962,34.5010769334,-4.55702969706,-19.3738707116,95.1798966667,10.3242278594,6.0895031795,
6,-6.66167910325,86.3235111945,5.00006880466,-31.691263426,54.3922173262,-10.7290205503,18.2971223605,89.2440890559,40.6966130406,9.92825720972,
7,4.02426743564,121.467212861,9.70387532944,2.67109336314,64.7178658578,-10.0247150317,26.4772419396,68.9186769079,47.9650332155,20.1304379246,
8,28.5576418724,101.555447632,7.14272998709,40.7181600875,73.9047562259,9.5930462641,18.7539930671,61.2862442686,55.69336408,20.9617659542,
9,29.529457229,63.4160186035,13.5671550167,49.6770931799,72.525753249,38.8523293906,-3.38114024938,47.66805556,56.6477687917,11.9563453559,
10,35.032075505,37.9095872182,17.895541549,50.2116516163,84.9268004776,53.8821103462,-13.51955219,36.140172885,63.3908770479,7.10690954579,
11,28.1292055008,17.4711721402,21.686302916,32.4943138725,73.6447630556,55.9833806938,-18.9459038437,24.2343298889,57.8303954402,8.1875546625,
12,5.9932926074,24.993830495,33.4427762178,13.8079981942,64.9038217611,34.4700201682,-21.2994735936,36.321323502,32.7510706144,-2.83240440368,
13,9.50627079979,67.0464068264,31.8135531317,29.4544917218,65.1985055907,12.6506577916,-7.29594487749,47.0556543931,41.2796124253,4.16384120475,
14,16.1386800211,72.5505706767,30.0548286632,47.7107751346,51.7982057232,-2.88509987647,-7.33023380622,49.927130168,55.1897673944,12.5338424708,
15,11.1814691801,57.810582131,31.3219482465,43.6488632284,39.487217147,-1.75789993308,-8.49656736165,44.5154644653,60.9540508392,14.7457076464,
16,-16.6956240553,33.5313158082,26.5197415708,30.9647034276,22.9360797121,4.99434538442,-3.1772461231,32.2546015259,39.9082285692,20.1590168812,
17,-26.1683109395,19.8482487043,22.8513512687,28.4087937895,19.2955838369,14.5253337367,2.58020895206,29.7037875471,35.7333147651,21.6541720321,
18,-33.7042039073,15.6018567927,18.4580907618,18.8029841278,19.0346007279,22.4570331438,5.03748088482,28.653668505,28.9576955893,22.4417223966,
19,-35.7363433233,10.2053582421,15.9362317719,12.1101312287,17.1716568373,24.2315266571,4.38915992357,26.1474320917,21.8387521806,20.3832195233,
20,-35.2769693778,12.7840064898,12.9446225246,9.65125097499,17.5157268828,25.1365240855,2.83400089275,26.8681520908,19.8964310578,20.7534612005,
21,-33.0422276501,14.0152495463,13.6779282919,10.6040000015,19.6511200384,25.0430862644,4.06740466642,29.4994686321,19.3485290609,19.0986650449,
22,-33.2315575944,16.6973704028,8.56065753675,3.94053747114,16.4663776829,20.369851721,3.12053179982,30.0126158514,15.3334881036,20.2507774592,
23,-34.5209202413,19.5497781507,2.6883744181,-3.17842442471,12.545019174,17.5595140225,2.44872830389,28.6281764633,10.8643785415,21.9624784836,
24,-30.117599764,25.4207029977,2.62972816159,-0.156746479155,12.1787821564,18.9572351048,5.30859231935,25.7234786486,15.6437525934,25.598358016,
25,-24.4646192732,29.9433671023,1.97469298231,0.451706004258,11.8878649522,19.6914575407,7.84030785324,23.5153688397,23.5184609496,30.6006725195,
26,-20.0999697376,36.5487125518,3.60051307124,-0.0813369676843,14.0644368954,20.5978344793,9.82371009471,23.9595548799,28.9454120229,36.4922955667,
27,-14.54142659,40.1715789923,2.34938714425,-3.55662969201,12.7989684095,17.8170054979,7.03459426608,23.0656287998,31.0919357285,35.8703249521,
28,-7.35958931549,42.9169557037,4.27126389392,-2.33872748834,13.8101901467,15.8131879615,5.55049891708,21.6068108201,30.4541140277,36.7166086264,
29,-6.29522621566,44.892587812,5.3761972935,-3.46138142444,13.9548913107,15.3482890068,1.37000524933,18.6671833392,29.8056828099,35.0587625136,
30,-6.06325150656,39.2364621517,0.174815349716,-6.02133585562,12.5445926482,11.5339330359,-1.62294605951,20.9197989488,28.2519603452,32.1243472705,
31,-8.51435032193,36.8349247746,0.116505269669,-8.35110837309,11.5180436736,12.086996949,-2.88396254422,19.9652789387,25.3925878538,28.9950923162,
32,-11.1623626115,33.5702282483,0.231038836462,-7.91383981421,8.75135193154,11.1754044155,-4.29942052073,15.926119662,18.5919099291,25.0700943657,
33,-10.4558912306,34.5609689879,4.90020626553,-3.54635433217,15.5403169639,14.4355022341,-0.498200277114,20.017985166,22.5924792652,26.6032818995,
