h1,h2,h3,h4,h5,h6,h7,h8,h9,h10
13.011,13.631,14.345,14.922,15.866,15.663,15.927,16.391,15.741,15.32
13.631,14.345,14.922,15.866,15.663,15.927,16.391,15.741,15.32,13.852
14.345,14.922,15.866,15.663,15.927,16.391,15.741,15.32,13.852,13.904
14.922,15.866,15.663,15.927,16.391,15.741,15.32,13.852,13.904,14.717
15.866,15.663,15.927,16.391,15.741,15.32,13.852,13.904,14.717,14.793
15.663,15.927,16.391,15.741,15.32,13.852,13.904,14.717,14.793,15.265
15.927,16.391,15.741,15.32,13.852,13.904,14.717,14.793,15.265,15.171
16.391,15.741,15.32,13.852,13.904,14.717,14.793,15.265,15.171,15.403
15.741,15.32,13.852,13.904,14.717,14.793,15.265,15.171,15.403,15.062
15.32,13.852,13.904,14.717,14.793,15.265,15.171,15.403,15.062,25.542
13.852,13.904,14.717,14.793,15.265,15.171,15.403,15.062,25.542,31.901
13.904,14.717,14.793,15.265,15.171,15.403,15.062,25.542,31.901,22.476
14.717,14.793,15.265,15.171,15.403,15.062,25.542,31.901,22.476,27.813
14.793,15.265,15.171,15.403,15.062,25.542,31.901,22.476,27.813,23.649
15.265,15.171,15.403,15.062,25.542,31.901,22.476,27.813,23.649,32.98
15.171,15.403,15.062,25.542,31.901,22.476,27.813,23.649,32.98,31.963
15.403,15.062,25.542,31.901,22.476,27.813,23.649,32.98,31.963,32.699
15.062,25.542,31.901,22.476,27.813,23.649,32.98,31.963,32.699,32.721
25.542,31.901,22.476,27.813,23.649,32.98,31.963,32.699,32.721,33.501
31.901,22.476,27.813,23.649,32.98,31.963,32.699,32.721,33.501,33.315
22.476,27.813,23.649,32.98,31.963,32.699,32.721,33.501,33.315,33.201
27.813,23.649,32.98,31.963,32.699,32.721,33.501,33.315,33.201,34.742
23.649,32.98,31.963,32.699,32.721,33.501,33.315,33.201,34.742,35.215
32.98,31.963,32.699,32.721,33.501,33.315,33.201,34.742,35.215,30.051
31.963,32.699,32.721,33.501,33.315,33.201,34.742,35.215,30.051,33.901
32.699,32.721,33.501,33.315,33.201,34.742,35.215,30.051,33.901,33.288
32.721,33.501,33.315,33.201,34.742,35.215,30.051,33.901,33.288,33.825
33.501,33.315,33.201,34.742,35.215,30.051,33.901,33.288,33.825,36.055
33.315,33.201,34.742,35.215,30.051,33.901,33.288,33.825,36.055,37.164
33.201,34.742,35.215,30.051,33.901,33.288,33.825,36.055,37.164,33.055
34.742,35.215,30.051,33.901,33.288,33.825,36.055,37.164,33.055,33.228
35.215,30.051,33.901,33.288,33.825,36.055,37.164,33.055,33.228,33.136
30.051,33.901,33.288,33.825,36.055,37.164,33.055,33.228,33.136,33.048
33.901,33.288,33.825,36.055,37.164,33.055,33.228,33.136,33.048,32.891
33.288,33.825,36.055,37.164,33.055,33.228,33.136,33.048,32.891,33.705
33.825,36.055,37.164,33.055,33.228,33.136,33.048,32.891,33.705,55.778
36.055,37.164,33.055,33.228,33.136,33.048,32.891,33.705,55.778,89.459
37.164,33.055,33.228,33.136,33.048,32.891,33.705,55.778,89.459,90.281
33.055,33.228,33.136,33.048,32.891,33.705,55.778,89.459,90.281,102.15
33.228,33.136,33.048,32.891,33.705,55.778,89.459,90.281,102.15,91.48
33.136,33.048,32.891,33.705,55.778,89.459,90.281,102.15,91.48,72.455
33.048,32.891,33.705,55.778,89.459,90.281,102.15,91.48,72.455,64.778
32.891,33.705,55.778,89.459,90.281,102.15,91.48,72.455,64.778,47.463
33.705,55.778,89.459,90.281,102.15,91.48,72.455,64.778,47.463,47.185
55.778,89.459,90.281,102.15,91.48,72.455,64.778,47.463,47.185,46.896
89.459,90.281,102.15,91.48,72.455,64.778,47.463,47.185,46.896,47.058
90.281,102.15,91.48,72.455,64.778,47.463,47.185,46.896,47.058,40.877
102.15,91.48,72.455,64.778,47.463,47.185,46.896,47.058,40.877,55.413
91.48,72.455,64.778,47.463,47.185,46.896,47.058,40.877,55.413,41.255
72.455,64.778,47.463,47.185,46.896,47.058,40.877,55.413,41.255,45.473
64.778,47.463,47.185,46.896,47.058,40.877,55.413,41.255,45.473,43.521
47.463,47.185,46.896,47.058,40.877,55.413,41.255,45.473,43.521,31.297
47.185,46.896,47.058,40.877,55.413,41.255,45.473,43.521,31.297,30.494
46.896,47.058,40.877,55.413,41.255,45.473,43.521,31.297,30.494,30.789
47.058,40.877,55.413,41.255,45.473,43.521,31.297,30.494,30.789,30.113
40.877,55.413,41.255,45.473,43.521,31.297,30.494,30.789,30.113,33.053
55.413,41.255,45.473,43.521,31.297,30.494,30.789,30.113,33.053,30.102
41.255,45.473,43.521,31.297,30.494,30.789,30.113,33.053,30.102,28.296
45.473,43.521,31.297,30.494,30.789,30.113,33.053,30.102,28.296,27.972
43.521,31.297,30.494,30.789,30.113,33.053,30.102,28.296,27.972,28.019
31.297,30.494,30.789,30.113,33.053,30.102,28.296,27.972,28.019,56.408
30.494,30.789,30.113,33.053,30.102,28.296,27.972,28.019,56.408,137.497
30.789,30.113,33.053,30.102,28.296,27.972,28.019,56.408,137.497,129.37
30.113,33.053,30.102,28.296,27.972,28.019,56.408,137.497,129.37,149.389
33.053,30.102,28.296,27.972,28.019,56.408,137.497,129.37,149.389,243.235
30.102,28.296,27.972,28.019,56.408,137.497,129.37,149.389,243.235,222.179
28.296,27.972,28.019,56.408,137.497,129.37,149.389,243.235,222.179,192.739
27.972,28.019,56.408,137.497,129.37,149.389,243.235,222.179,192.739,218.699
28.019,56.408,137.497,129.37,149.389,243.235,222.179,192.739,218.699,222.56
56.408,137.497,129.37,149.389,243.235,222.179,192.739,218.699,222.56,208.745
137.497,129.37,149.389,243.235,222.179,192.739,218.699,222.56,208.745,169.216
129.37,149.389,243.235,222.179,192.739,218.699,222.56,208.745,169.216,150.732
149.389,243.235,222.179,192.739,218.699,222.56,208.745,169.216,150.732,118.625
243.235,222.179,192.739,218.699,222.56,208.745,169.216,150.732,118.625,105.948
222.179,192.739,218.699,222.56,208.745,169.216,150.732,118.625,105.948,105.634
192.739,218.699,222.56,208.745,169.216,150.732,118.625,105.948,105.634,100.676
218.699,222.56,208.745,169.216,150.732,118.625,105.948,105.634,100.676,92.292
222.56,208.745,169.216,150.732,118.625,105.948,105.634,100.676,92.292,89.86
208.745,169.216,150.732,118.625,105.948,105.634,100.676,92.292,89.86,88.461
169.216,150.732,118.625,105.948,105.634,100.676,92.292,89.86,88.461,76.861
150.732,118.625,105.948,105.634,100.676,92.292,89.86,88.461,76.861,76.572
118.625,105.948,105.634,100.676,92.292,89.86,88.461,76.861,76.572,78.28
105.948,105.634,100.676,92.292,89.86,88.461,76.861,76.572,78.28,74.399
105.634,100.676,92.292,89.86,88.461,76.861,76.572,78.28,74.399,70.665
100.676,92.292,89.86,88.461,76.861,76.572,78.28,74.399,70.665,73.403
92.292,89.86,88.461,76.861,76.572,78.28,74.399,70.665,73.403,79.107
89.86,88.461,76.861,76.572,78.28,74.399,70.665,73.403,79.107,78.23
88.461,76.861,76.572,78.28,74.399,70.665,73.403,79.107,78.23,76.062
76.861,76.572,78.28,74.399,70.665,73.403,79.107,78.23,76.062,70.789
76.572,78.28,74.399,70.665,73.403,79.107,78.23,76.062,70.789,71.852
78.28,74.399,70.665,73.403,79.107,78.23,76.062,70.789,71.852,74.572
74.399,70.665,73.403,79.107,78.23,76.062,70.789,71.852,74.572,71.287
70.665,73.403,79.107,78.23,76.062,70.789,71.852,74.572,71.287,65.796
73.403,79.107,78.23,76.062,70.789,71.852,74.572,71.287,65.796,63.335
79.107,78.23,76.062,70.789,71.852,74.572,71.287,65.796,63.335,65.886
78.23,76.062,70.789,71.852,74.572,71.287,65.796,63.335,65.886,74.139
76.062,70.789,71.852,74.572,71.287,65.796,63.335,65.886,74.139,69.187
70.789,71.852,74.572,71.287,65.796,63.335,65.886,74.139,69.187,61.469
71.852,74.572,71.287,65.796,63.335,65.886,74.139,69.187,61.469,64.579
74.572,71.287,65.796,63.335,65.886,74.139,69.187,61.469,64.579,71.495
71.287,65.796,63.335,65.886,74.139,69.187,61.469,64.579,71.495,67.226
65.796,63.335,65.886,74.139,69.187,61.469,64.579,71.495,67.226,68.649
63.335,65.886,74.139,69.187,61.469,64.579,71.495,67.226,68.649,63.641
65.886,74.139,69.187,61.469,64.579,71.495,67.226,68.649,63.641,59.532
74.139,69.187,61.469,64.579,71.495,67.226,68.649,63.641,59.532,58.643
