h1,h2,h3,h4,h5,h6,h7,h8,h9,h10
0.39,0.297,0.39,0.39,0.39,0.39,0.61,0.61,0.378,0.39
0.297,0.39,0.39,0.39,0.39,0.61,0.61,0.378,0.39,0.618
0.39,0.39,0.39,0.39,0.61,0.61,0.378,0.39,0.618,0.717
0.39,0.39,0.39,0.61,0.61,0.378,0.39,0.618,0.717,0.36
0.39,0.39,0.61,0.61,0.378,0.39,0.618,0.717,0.36,0.46
0.39,0.61,0.61,0.378,0.39,0.618,0.717,0.36,0.46,1.105
0.61,0.61,0.378,0.39,0.618,0.717,0.36,0.46,1.105,0.861
0.61,0.378,0.39,0.618,0.717,0.36,0.46,1.105,0.861,0.098
0.378,0.39,0.618,0.717,0.36,0.46,1.105,0.861,0.098,0.098
0.39,0.618,0.717,0.36,0.46,1.105,0.861,0.098,0.098,0.1
0.618,0.717,0.36,0.46,1.105,0.861,0.098,0.098,0.1,0.631
0.717,0.36,0.46,1.105,0.861,0.098,0.098,0.1,0.631,0.364
0.36,0.46,1.105,0.861,0.098,0.098,0.1,0.631,0.364,0.447
0.46,1.105,0.861,0.098,0.098,0.1,0.631,0.364,0.447,0.3
1.105,0.861,0.098,0.098,0.1,0.631,0.364,0.447,0.3,0.08
0.861,0.098,0.098,0.1,0.631,0.364,0.447,0.3,0.08,0.075
0.098,0.098,0.1,0.631,0.364,0.447,0.3,0.08,0.075,0.3
0.098,0.1,0.631,0.364,0.447,0.3,0.08,0.075,0.3,0.196
0.1,0.631,0.364,0.447,0.3,0.08,0.075,0.3,0.196,1.096
0.631,0.364,0.447,0.3,0.08,0.075,0.3,0.196,1.096,2.653
0.364,0.447,0.3,0.08,0.075,0.3,0.196,1.096,2.653,0.417
0.447,0.3,0.08,0.075,0.3,0.196,1.096,2.653,0.417,2.519
0.3,0.08,0.075,0.3,0.196,1.096,2.653,0.417,2.519,1.94
0.08,0.075,0.3,0.196,1.096,2.653,0.417,2.519,1.94,1.605
0.075,0.3,0.196,1.096,2.653,0.417,2.519,1.94,1.605,1.396
0.3,0.196,1.096,2.653,0.417,2.519,1.94,1.605,1.396,1.133
