epochs_part,h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9,h_10
1,-6.39091450973,-7.41786221481,-7.33405425937,-1.63912618536,-17.0703952201,-24.9667266096,-8.5466104711,14.1780570729,2.3364781029,8.2206154245,
2,-8.37299741184,0.403683475825,-15.0732121936,-0.465542446247,-2.11772771261,-8.82471841761,-5.76736035115,-0.983696414826,5.97551588632,2.12287096973,
3,-10.4567131989,-0.714630719146,-18.0136091259,-0.542685705484,0.382337383785,-6.46219054407,-5.05436881153,-2.79583758556,7.56332045253,0.842148129148,
4,-12.4967338823,-1.21225240108,-18.015676413,-0.991860976802,0.126653411283,-5.07154549671,-5.07577961005,-1.52432467423,7.1575544124,0.370542959239,
5,-15.0656052631,-3.08005311284,-16.7745575942,-1.46726131293,-1.52708346879,-6.43196348088,-5.29043043258,-0.476388091276,5.83264546976,-0.0205203585881,
6,-15.9611744148,-3.2297552175,-14.8214591207,-1.34782131365,-1.90428541338,-6.79881101103,-5.98072282462,-0.0258966820529,5.3920897788,-0.257165577154,
7,-16.4967001594,-3.16993067406,-12.5052670811,-1.52914136462,-3.45245236232,-8.23656931574,-6.51162358572,0.878088882219,4.85160508105,-0.160653485498,
8,-16.7281192213,-2.13492709926,-11.7437707981,-1.9647625007,-4.47501843608,-8.94578401474,-6.73483084323,1.62241798933,5.05295522425,-0.307880351602,
9,-16.3411199697,-1.77338734667,-11.1218515296,-1.81527614778,-3.06166849052,-8.55256146836,-7.72600655751,0.86326726126,4.85694181606,0.329593724331,
10,-14.4489762735,-0.311154381563,-10.9516818529,-2.11645829588,-2.87571528924,-8.08651690443,-6.20476364665,2.53101981428,4.36009595733,-0.603668351579,
11,-13.7924894641,-1.45722440374,-11.1221403782,-2.82291399765,-0.556452319517,-5.79260749893,-5.88925228384,2.69544873182,5.6038982623,1.80819594723,
12,-14.4817694862,-1.81176207097,-13.1212864077,-4.99531775644,-1.11620335019,-4.47699458547,-5.98458889172,2.7299772505,7.94250164004,2.29639583419,
13,-15.9500027798,-2.03793858695,-15.6424075341,-6.35061756775,-1.24499140083,-4.18085459667,-8.68057362251,-0.340423448776,8.57613125705,1.12877520938,
14,-16.4234910193,-1.62116016742,-17.2572757285,-6.20731887206,0.424407797141,-2.50213737449,-9.4483430025,-1.82000001156,9.62241875174,0.373102296299,
15,-16.0336700293,-1.57594304418,-18.4474872725,-6.14527624748,1.92650386979,-0.898202039937,-9.88363402677,-3.05094890025,10.5593892106,0.955989361033,
16,-16.1126985562,-2.15940210727,-19.8260460976,-5.88588622561,3.61563025262,0.334269924709,-10.6360074528,-4.50025173351,11.0565546242,1.40294279638,
17,-15.9774791642,-2.37072309801,-20.4680533831,-5.91019346863,4.41592350788,1.12064341933,-10.8429547958,-5.03323683769,11.367169389,1.81559927037,
