epochs_part,h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9,h_10
1,-6.41829844711,-8.22779455988,-9.74376063111,-10.0622238067,-8.4655456065,-10.6914215696,-16.3835001801,-17.706357949,-15.4835210546,-12.5011617084,
2,-3.21610067441,-6.52298698161,-7.47541847902,-11.2695187102,-8.54541804665,-12.4920844959,-15.0620470583,-14.7755622567,-11.0989046966,-10.1690438361,
3,-2.86521496881,-5.85687204325,-7.0781603786,-11.5896176643,-8.51549627863,-13.4167693677,-15.3221221011,-14.4652569298,-10.111517308,-9.77108964062,
4,-3.08443243611,-5.61292623332,-6.96692679055,-11.2199424708,-8.29195993776,-13.3433487866,-15.1759405084,-14.2546197634,-9.7481223417,-9.25202839002,
5,-3.30472941884,-5.50465139701,-6.73130070991,-11.0944227955,-8.48496351382,-13.3909298483,-15.1597967708,-14.3414655307,-9.70818695867,-9.18592657553,
6,-3.58191733885,-5.65191135251,-6.68753769417,-11.0000763289,-8.5053933089,-13.499015182,-15.3145371313,-14.4894485918,-9.7229857505,-9.40677007397,
7,-3.6867304901,-5.76191542667,-6.53307983988,-10.9162173549,-8.62936432494,-13.4945097623,-15.0688130074,-14.3405310516,-9.60837684709,-9.54270151559,
8,-3.49959947755,-5.79501073759,-6.37370424405,-10.7796420716,-8.66809500908,-13.1970557123,-14.4216939557,-13.7280869798,-9.1949591282,-9.35331012373,
9,-3.81579947523,-6.05377098142,-6.41470900855,-10.4348019398,-8.4287189339,-13.0809227506,-14.2995797014,-13.2474324241,-8.62519944535,-8.87489157661,
10,-3.84266511331,-6.2564715527,-6.2640868637,-10.4035182862,-8.76093823499,-13.0550247633,-13.9142794028,-12.8324144824,-8.53167779378,-8.94874869337,
11,-4.05251516967,-6.42274883893,-5.66898126115,-9.49913678912,-8.11454433834,-13.0304943605,-14.4896792385,-13.1006115647,-8.67203950925,-8.96200995274,
12,-4.13304727251,-6.19943849273,-5.03889921083,-9.30597419128,-8.39945302133,-13.6463066164,-15.2148126009,-14.0791700439,-9.88883536879,-10.0360130795,
13,-4.8361971725,-7.38924777255,-6.81193093748,-10.96284294,-9.6937478365,-13.4539218057,-13.3702882152,-11.7935961216,-8.41888562136,-9.12080694081,
14,-6.27572661033,-9.5594677211,-9.13907084307,-12.3056454623,-10.4886767327,-13.518853933,-12.8028683657,-10.4863938668,-7.4941898154,-8.8924235877,
